x y t
-1.3 12.0 3.9
1.3 12.0 3.8
0.0 10.8 2.2
1.3 10.8 2.35
2.4 10.8 2.5
-1.3 10.8 1.9
-2.4 10.8 1.8
0.0 9.8 1.8
1.3 9.8 1.95
2.4 9.8 1.95
-1.3 9.8 1.95
-2.4 9.8 1.5
0.0 8.8 2.6
1.3 8.8 2.3
2.4 8.8 1.6
-1.3 8.8 2.6
-2.4 8.8 1.7
-1.5 7.5 2.9
0.0 7.5 2.7
1.5 7.5 3.0
-1.5 7.2 3.3
-0.8 7.2 3.0
0.0 7.2 3.3
0.8 7.2 3.3
1.5 7.2 3.3
-1.5 6.2 3.1
-0.8 6.2 3.3
0.0 6.2 3.1
0.8 6.2 3.2
1.5 6.2 3.3
-0.5 5.8 3.0
-2.8 5.2 2.5
-1.2 5.2 2.1
0.0 5.2 2.6
1.2 5.2 2.4
2.8 5.2 1.65
-3.0 4.5 2.0
-1.5 4.5 1.9
0.0 4.5 2.2
1.5 4.5 2.6
3.0 4.5 1.8
-3.2 3.0 2.3
-2.0 3.0 1.95
-0.8 3.0 1.95
0.0 3.0 2.1
3.2 3.0 2.75
2.0 3.0 2.8
0.8 3.0 2.6
-2.6 1.6 1.95
-1.0 1.6 2.1
0.0 1.6 2.5
1.0 1.6 2.65
2.6 1.6 2.3
-1.0 0.8 2.2
0.0 0.8 2.7
1.0 0.8 2.2
