x y t
-1.0 12.25 1.9
1.0 12.25 1.95
-2.0 11.5 2.1
-1.0 11.5 2.2
1.0 11.5 2.1
2.0 11.5 1.95
-2.5 10.1 2.5
-1.5 10.1 2.4
-0.6 10.1 2.5
0.6 10.1 2.6
1.5 10.1 2.5
2.5 10.1 1.9
-2.2 8.6 2.2
-1.0 8.6 2.5
1.0 8.6 2.7
2.2 8.6 2.2
-1.5 7.8 3.1
-0.8 7.8 2.4
0.8 7.8 2.3
1.5 7.8 2.3
-1.75 6.6 3.0
-1.0 6.6 2.5
1.0 6.6 3.2
1.75 6.6 3.3
-2.0 6.0 3.4
-1.5 6.0 3.2
-1.0 6.0 2.6
1.0 6.0 2.3
1.5 6.0 3.2
2.0 6.0 3.4
-2.5 5.5 3.4
-1.6 5.5 3.3
-1.0 5.5 2.5
1.0 5.5 2.3
1.6 5.5 3.2
2.5 5.5 3.0
-3.0 4.5 2.1
-1.75 4.5 2.3
1.75 4.5 2.5
3.0 4.5 2.6
-3.2 3.0 1.7
-2.5 3.0 2.2
-1.3 3.0 2.2
1.3 3.0 2.5
2.5 3.0 2.5
3.2 3.0 2.0
-3.2 2.0 1.7
-2.5 2.0 1.6
-1.3 2.0 2.1
1.3 2.0 2.4
2.5 2.0 2.1
3.2 2.0 2.1
-1.5 0.8 1.6
-0.5 0.8 1.8
0.5 0.8 2.3
1.5 0.8 2.0
